model,condition,accuracy,ci_low,ci_high,n
gpt-5,baseline,57.142857142857146,50.0,64.28571428571429,182
gpt-5,codeswitching,58.104395604395606,54.532967032967036,61.675824175824175,728
gpt-5,codeswitching_reverse,54.7455295735901,51.169188445667125,58.32187070151307,727
gpt-5,full_translation,57.86578657865787,54.675467546754675,61.056105610561055,909
gemini-3-pro,baseline,71.42857142857143,64.83516483516483,78.02197802197803,182
gemini-3-pro,codeswitching,70.6043956043956,67.3076923076923,73.9010989010989,728
gemini-3-pro,codeswitching_reverse,68.54395604395604,65.10989010989012,71.97802197802197,728
gemini-3-pro,full_translation,71.01648351648352,67.71978021978022,74.31318681318682,728
claude-opus-4.5,baseline,54.395604395604394,47.252747252747255,61.53846153846154,182
claude-opus-4.5,codeswitching,50.54945054945055,46.84065934065934,54.25824175824176,728
claude-opus-4.5,codeswitching_reverse,46.15384615384615,42.582417582417584,49.862637362637365,728
claude-opus-4.5,full_translation,48.07692307692308,44.505494505494504,51.64835164835165,728
deepseek-v3.1,baseline,47.252747252747255,40.10989010989011,54.395604395604394,182
deepseek-v3.1,codeswitching,42.994505494505496,39.42307692307692,46.7032967032967,728
deepseek-v3.1,codeswitching_reverse,39.285714285714285,35.714285714285715,42.857142857142854,728
deepseek-v3.1,full_translation,40.247252747252745,36.675824175824175,43.81868131868132,728
command-r-plus,baseline,14.835164835164836,9.89010989010989,20.32967032967033,182
command-r-plus,codeswitching,15.247252747252746,12.774725274725276,17.857142857142858,728
command-r-plus,codeswitching_reverse,11.675824175824175,9.340659340659341,14.010989010989011,728
