model1,model2,cohens_h,interpretation
gpt-5,gemini-3-pro,0.6436357621783353,medium
gpt-5,claude-opus-4.5,2.2762136987058894,large
gpt-5,deepseek-v3.1,0.9672602128159618,large
gpt-5,command-r-plus,2.6564649053988227,large
gemini-3-pro,claude-opus-4.5,1.632577936527554,large
gemini-3-pro,deepseek-v3.1,0.32362445063762646,small
gemini-3-pro,command-r-plus,2.0128291432204874,large
claude-opus-4.5,deepseek-v3.1,-1.3089534858899274,large
claude-opus-4.5,command-r-plus,0.3802512066929335,small
deepseek-v3.1,command-r-plus,1.689204692582861,large
