model,condition,fidelity,ci_low,ci_high,n
gpt-5,X→EN,94.23076923076923,92.44505494505495,95.87912087912088,728
gemini-3-pro,X→EN,71.38888888888889,68.05555555555556,74.72222222222223,720
claude-opus-4.5,X→EN,3.5714285714285716,2.3351648351648353,4.945054945054945,728
deepseek-v3.1,X→EN,55.90659340659341,52.33516483516483,59.47802197802198,728
command-r-plus,X→EN,0.0,0.0,0.0,728
gpt-5,EN→X,98.9010989010989,98.07692307692308,99.58791208791209,728
gemini-3-pro,EN→X,98.60917941585535,97.63560500695411,99.44367176634213,719
claude-opus-4.5,EN→X,96.84065934065934,95.46703296703296,98.07692307692308,728
deepseek-v3.1,EN→X,82.96703296703296,80.08241758241758,85.71428571428571,728
command-r-plus,EN→X,91.20879120879121,89.14835164835165,93.26923076923077,728
